p,t,seed,efficient_eig,naive_eig,absolute_error,efficient_peak_bytes_model,naive_peak_bytes_model
3,4,260602247,1.4325860148760954,1.4325860148707612,5.334177544114027e-12,4384,1768
3,4,260602248,0.6155433545911537,0.615543354609736,1.8582246852361095e-11,4384,1768
3,4,260602249,5.9031636245272585,5.903163624073172,4.540865461422072e-10,4384,1768
4,5,260602247,1.240719274728556,1.2407192747285523,3.774758283725532e-15,7600,5768
4,5,260602248,0.572651370700186,0.5726513707001821,3.885780586188048e-15,7600,5768
4,5,260602249,0.7462627111020035,0.7462627111020002,3.3306690738754696e-15,7600,5768
5,6,260602247,0.44971715694206,0.44971715694206615,6.161737786669619e-15,12048,20048
5,6,260602248,0.9158103909314292,0.9158103909314201,9.103828801926284e-15,12048,20048
5,6,260602249,0.47557762816530075,0.47557762816530236,1.609823385706477e-15,12048,20048
6,7,260602247,0.8735811728951173,0.8735811728951166,6.661338147750939e-16,17920,73544
6,7,260602248,0.64916097331627,0.6491609733162722,2.220446049250313e-15,17920,73544
6,7,260602249,1.355471187488515,1.355471187488548,3.2862601528904634e-14,17920,73544
7,8,260602247,0.5668683139662974,0.5668683139662924,4.9960036108132044e-15,25408,279696
7,8,260602248,0.49039260796966827,0.49039260796966744,8.326672684688674e-16,25408,279696
7,8,260602249,0.5558640222652723,0.5558640222652773,4.9960036108132044e-15,25408,279696
8,9,260602247,0.4703698812007227,0.470369881200714,8.715250743307479e-15,34704,1087112
8,9,260602248,0.6016659735281891,0.6016659735281884,6.661338147750939e-16,34704,1087112
8,9,260602249,0.7587856658815325,0.7587856658815433,1.0769163338864018e-14,34704,1087112
9,10,260602247,0.5691302297309176,0.56913022973092,2.3314683517128287e-15,46000,4278832
9,10,260602248,0.6290195022678117,0.6290195022678056,6.106226635438361e-15,46000,4278832
9,10,260602249,0.4048365943959086,0.4048365943959098,1.2212453270876722e-15,46000,4278832
