route,p,t,seconds_median,seconds_mad,eig,operation_count,peak_bytes_model
efficient_esp,8,9,0.0017622500308789313,8.316594175994396e-05,0.4703698812007227,259792,34704
efficient_esp,12,13,0.003957291948609054,6.47089327685535e-05,0.46221782096326147,1277208,93808
efficient_esp,16,17,0.007747167022898793,1.2082979083061218e-05,0.4352486046432604,3976864,197200
efficient_esp,24,25,0.021581458975560963,0.00015866599278524518,0.41636071424685156,19832688,586000
efficient_esp,32,33,0.05568804201902822,0.0,0.47918973104162715,62210368,1299408
efficient_esp,48,49,0.18704487499780953,0.0,0.47209908663247613,312571872,4093264
efficient_esp,64,65,0.49122220801655203,0.0,0.439210604850887,984158848,9365200
efficient_esp,80,81,1.1637622909620404,0.0,0.4586287392951438,2397294880,17901648
efficient_esp,101,102,2.7245475410018116,0.0,0.41592717316184086,6078954064,35377680
naive_explicit,3,4,7.26659782230854e-05,2.8319773264229298e-06,1.4325860148707612,,1768
naive_explicit,4,5,8.325005182996392e-05,7.417052984237671e-06,1.2407192747285523,,5768
naive_explicit,5,6,0.00010983401443809271,6.67991116642952e-07,0.44971715694206615,,20048
naive_explicit,6,7,0.00023354199947789311,1.0374991688877344e-05,0.8735811728951166,,73544
naive_explicit,7,8,0.0007416249718517065,3.958994057029486e-06,0.5668683139662924,,279696
naive_explicit,8,9,0.0017667500069364905,6.542017217725515e-06,0.470369881200714,,1087112
naive_explicit,9,10,0.007594999973662198,0.0,0.56913022973092,,4278832
naive_explicit,10,11,0.039243790961336344,0.0,0.5992016234458983,,16962056
