application,replicate,budget,method,mse,efficiency_error,data_sha256
ImageNet ViT-9 local explanation,1,16,GP-LeverageSHAP,0.03200119627713591,2.997487027922574e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,16,GP-random,0.012743021137174607,1.3792166346782153e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,16,GP-uncertainty,0.012251773062972291,1.233354810170617e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,16,ShaplEIG,0.01039232321629415,3.5876197366224716e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,24,GP-LeverageSHAP,0.00810064925547261,6.180023730206763e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,24,GP-random,0.009927629830748762,1.8324221996435242e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,24,GP-uncertainty,0.006221090462963921,1.513361125526913e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,24,ShaplEIG,0.023370873891304367,1.4208354172096094e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,32,GP-LeverageSHAP,0.005012219347961742,3.92937779269964e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,32,GP-random,0.0071832391526044405,1.2684426182296704e-05,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,32,GP-uncertainty,0.007881296948373175,1.4224514994776172e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,32,ShaplEIG,0.010828875514843801,1.1223241411784102e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,48,GP-LeverageSHAP,0.0017656442089563395,2.2983892066230638e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,48,GP-random,0.005876761836931812,1.2817810490783899e-07,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,48,GP-uncertainty,0.005707912967604929,1.8054628010411022e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,48,ShaplEIG,0.009377506225644563,2.433032702087168e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
