task_id,application,players,replicate,seed,budget,method,mse,efficiency_error,data_sha256,source_path
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,16,KernelSHAP,5470207143272092.0,7.272883406628239e-09,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,16,PermutationSampling,0.06563991997141957,0.0,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,16,RegressionMSR,0.004611097008560654,4.4978150970376163e-07,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,16,LeverageSHAP,0.06064229083622822,5.551115123125783e-16,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,16,ShaplEIG,0.017774551626248032,9.484694323269593e-07,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,24,KernelSHAP,0.10228652167453664,1.0616632906135237e-08,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,24,PermutationSampling,0.026965584779762353,0.0,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,24,RegressionMSR,0.007014852959002829,5.727215466322377e-07,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,24,LeverageSHAP,0.10228655427598428,1.5543122344752192e-15,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,1,1,24,ShaplEIG,0.009792886608297757,9.905717164304662e-07,d6f5269204d35ba89f29fc31847197e4f7fb3184053180d4f698c434a3499cdc,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_1.npz
