method,budget,replicates,mean_mse,median_mse,geometric_mean_mse,geometric_95ci_low,geometric_95ci_high,standard_error
GP-LeverageSHAP,16,30,0.015764530385733524,0.007613035630518702,0.00793178181221378,0.004959041726610064,0.01268655643266223,0.003237434119196946
GP-LeverageSHAP,24,30,0.004634981357261114,0.003732945083482667,0.0031016991052046335,0.002165318217267801,0.004443013161994463,0.0007112328705100803
GP-LeverageSHAP,32,30,0.0037052028089607923,0.0036014318931982406,0.0023894971206263496,0.0016210798480200688,0.003522156232128382,0.0005662779718342753
GP-LeverageSHAP,48,30,0.0030497207241026838,0.0014980243375202857,0.0017167104576880244,0.0011851850804849016,0.0024866114534024208,0.0007332341880962507
GP-LeverageSHAP,64,30,0.0016768209890888454,0.0013516928543928508,0.000918751220257769,0.0005561077560645464,0.001517878136961582,0.00026133816819152257
GP-random,16,30,0.011200783115109228,0.008168399357569495,0.007423710570096588,0.005095843163994666,0.010814987207212546,0.0016359164861931958
GP-random,24,30,0.0072469244200787436,0.005367286647658559,0.004441158356109966,0.0029669244443362914,0.006647923772274443,0.001240363103944575
GP-random,32,30,0.004751553401605342,0.0034363453214215018,0.0025151197626812802,0.0015907794231555196,0.003976558489851366,0.0009581844434381432
GP-random,48,30,0.0026655162511900737,0.0019527684668325083,0.001608857917841278,0.001079365610120888,0.0023980973411879144,0.0005032185393172296
GP-random,64,30,0.0018283714707935418,0.001010215624806866,0.001013896444804926,0.0006592585749437634,0.0015593062265071916,0.0003666690337928513
GP-uncertainty,16,30,0.007896249884109738,0.0055296004005344,0.004809417979626311,0.00317276812005989,0.007290322024011075,0.0013226163162099575
GP-uncertainty,24,30,0.005439877345583886,0.0031413704176960627,0.0028455616962021124,0.0017434396230714768,0.00464439448303205,0.0010375025383995483
GP-uncertainty,32,30,0.0031627910259236043,0.0026987175712276804,0.0017696377262161054,0.0010710448675861402,0.002923890283985179,0.00048506598892313036
GP-uncertainty,48,30,0.002010758092270602,0.0014905381153923203,0.0011561417509599174,0.0007509543561728322,0.0017799533850830081,0.00038854976157526473
GP-uncertainty,64,30,0.0012338635188905809,0.0009646035333106602,0.0007593125428540887,0.0005128882333569553,0.0011241348509047904,0.00021182121324677511
KernelSHAP,16,30,798120975264.3488,0.03307641354879728,0.3331955820728172,0.01574832745369494,7.049592805285216,649914120907.859
KernelSHAP,24,30,0.02267646257527319,0.009531490396275794,0.010272740722408523,0.006466636578322593,0.016319024684885573,0.006428783489446369
KernelSHAP,32,30,0.008681230172665363,0.004887103704743524,0.004843082385749904,0.0032321329527367324,0.007256956114785016,0.0020840186664685435
KernelSHAP,48,30,0.004846775527449136,0.0025005691930600595,0.002631647557400817,0.0017296787653030123,0.004003962472858615,0.0010934245791362973
KernelSHAP,64,30,0.0025043747946126497,0.0014390406450865184,0.0014649368865074712,0.0009981146469734083,0.002150093767241729,0.0005169555930569379
LeverageSHAP,16,30,0.02649665959376967,0.017018508763438876,0.01584790594631953,0.010648816829504044,0.023585354777398985,0.005073979932456622
LeverageSHAP,24,30,0.02267646876939224,0.009531489863019639,0.010272740253389642,0.006466635624294688,0.016319025602300252,0.006428786224179917
LeverageSHAP,32,30,0.008681229795072897,0.004887103712664989,0.004843082425989951,0.003232133060761476,0.007256955992834872,0.0020840181962728226
LeverageSHAP,48,30,0.004846775765034161,0.0025005690523065742,0.0026316475763343457,0.001729678763827926,0.004003962533886676,0.0010934247309697413
LeverageSHAP,64,30,0.0025043747473577544,0.0014390402778673744,0.0014649368336556534,0.0009981146263259208,0.002150093656577968,0.0005169556278284345
PermutationSampling,16,30,0.036133423425745215,0.03437098820402949,0.026638596655653598,0.019201817269470844,0.036955607993979955,0.004539764228397263
PermutationSampling,24,30,0.020749131275912092,0.017146641146075933,0.01375726306823405,0.009332378937220737,0.02028017597675481,0.00347363508953011
PermutationSampling,32,30,0.013167909415843452,0.008603686894069467,0.008755218457258969,0.006159432594817055,0.012444953176178865,0.0022028875215559488
PermutationSampling,48,30,0.009107093189858884,0.006656034773313742,0.006389666337387206,0.00457449939951824,0.008925093728821781,0.0013160111952852964
PermutationSampling,64,30,0.005835264059582733,0.0036178557850749106,0.0037146265561095386,0.0025560482083422692,0.005398352975628433,0.0009975606417788343
RegressionMSR,16,30,0.01630349153866154,0.014962926142504034,0.010302606739261425,0.006928648007774243,0.015319540768238925,0.0024439639502677373
RegressionMSR,24,30,0.009619149814746345,0.006180708806931851,0.006628588742796638,0.004739191940656239,0.009271240597831994,0.0015099227828973781
RegressionMSR,32,30,0.006109629584483374,0.004918017047249818,0.0038982308012703976,0.0026581359528108518,0.0057168646185700115,0.0010257361715403255
RegressionMSR,48,30,0.003473406531149239,0.0031033996698582676,0.0019473357790677553,0.001261479503905211,0.0030060866028326413,0.0006460751506107545
RegressionMSR,64,30,0.0016074229374564441,0.0010168849857183975,0.0009740584029814856,0.0006672792261349397,0.0014218781812143128,0.0003260131535282878
SVARM,16,30,0.023249530990667993,0.020304432819221195,0.016130098485446526,0.01133698725432482,0.022949666548399014,0.003323330704598259
SVARM,24,30,0.02008741220968886,0.017755898027929314,0.01542897660403242,0.011597349623850776,0.02052652776443043,0.002491309459736052
SVARM,32,30,0.0171814905556452,0.014587360250943765,0.012695224737274557,0.009339154761879478,0.01725731452569623,0.00227168015771649
SVARM,48,30,0.012642482903441643,0.010183344982493663,0.00935666485254637,0.006757426321587845,0.012955698367467353,0.0014929409220589354
SVARM,64,30,0.006935687901010737,0.005896878279024762,0.004986161529197171,0.0035273183994783946,0.00704835911578675,0.0008796365395595995
ShaplEIG,16,30,0.01302994910278865,0.006030028118786013,0.006989483259307965,0.004631223854046599,0.010548588833480891,0.002842620300310593
ShaplEIG,24,30,0.005996519289415542,0.0033108871469926023,0.003134501893739259,0.001991960883614908,0.004932377037457136,0.0011856279334834894
ShaplEIG,32,30,0.004182508771080401,0.0026078521384336638,0.002098451852184222,0.0012895156937034915,0.003414848068493475,0.0008516142631919861
ShaplEIG,48,30,0.0021430096778199204,0.0014326566664945588,0.001101525051334245,0.0006769773489394627,0.0017923161544736008,0.0003964326202625279
ShaplEIG,64,30,0.0011481689029074643,0.0007717437909971995,0.000642066172534315,0.00041552848229223406,0.0009921076111045913,0.0002226581818141972
ShaplEIG-fixed,16,30,0.007983914641417329,0.006790850384262885,0.005324053093467605,0.0036897910395714325,0.007682153552347044,0.001232787127140867
ShaplEIG-fixed,24,30,0.003565303232763948,0.0037915777703658128,0.002289987747466552,0.001504261204921297,0.003486125857923259,0.00046354908199736983
ShaplEIG-fixed,32,30,0.002287735606885891,0.0018399455300772373,0.0014485184126428246,0.0009868458446052226,0.0021261736098252037,0.0003539498875752704
ShaplEIG-fixed,48,30,0.0009828267205843324,0.0007197781055221436,0.0006222096551208675,0.00041818314430957555,0.0009257782390172821,0.0001554941369286754
ShaplEIG-fixed,64,30,0.0004811968040721255,0.00045076389735436797,0.0003225156404745894,0.00022360191336525482,0.00046518536798396476,6.697435655979952e-05
UnbiasedKernelSHAP,16,30,0.06222682722000368,0.045602647814999994,0.04121760419909553,0.029062085252049816,0.05845729517270172,0.010959231047162944
UnbiasedKernelSHAP,24,30,0.03492760683846953,0.028570730931552338,0.02365289792883538,0.01651611199762054,0.03387356422095623,0.005160406886487694
UnbiasedKernelSHAP,32,30,0.02220842541879836,0.01725227768924511,0.015706199744850522,0.011312836024983421,0.02180573552735678,0.0031858432013307483
UnbiasedKernelSHAP,48,30,0.010232189175197791,0.007996030709813114,0.006906820566953098,0.004771043881385796,0.009998686142922287,0.0014428679812942978
UnbiasedKernelSHAP,64,30,0.0064595206536334085,0.00480524474379608,0.00443505201094364,0.00314381985220379,0.006256620056008281,0.0009514462550224073
