application,replicate,budget,method,mse,efficiency_error,data_sha256
ImageNet ViT-9 local explanation,1,16,ShaplEIG,0.01039232321623658,3.5876197358453155e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,16,ShaplEIG-fixed,0.007862777778551258,5.812869720012159e-07,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,16,GP-random,0.012743021137174633,1.379216634567193e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,16,GP-uncertainty,0.012251773062972263,1.2333548107257286e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,16,GP-LeverageSHAP,0.03200119627713541,2.9974870284776856e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,16,KernelSHAP,0.2235153542339821,5.8207549891164945e-09,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,16,SVARM,0.020332542467870703,1.0282972867566125,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,16,UnbiasedKernelSHAP,0.054537244893570036,2.220446049250313e-16,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,16,PermutationSampling,0.044068304933561064,0.0,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,16,RegressionMSR,0.012343937550301934,3.2938442018348724e-07,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,16,LeverageSHAP,0.05295280233235945,5.551115123125783e-16,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,24,ShaplEIG,0.0233708739392134,1.4208354595091066e-06,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
